"first_day_of_week","all_swabs","all_positives","ct_lt_30","has_sequence_lt_30"
"DateObject[{2020, 4, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",4180.,14.,7.,5.
"DateObject[{2020, 5, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",9342.,25.,12.,3.
"DateObject[{2020, 5, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",14314.,30.,19.,13.
"DateObject[{2020, 5, 17, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",16151.,24.,16.,13.
"DateObject[{2020, 5, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",17972.,19.,12.,10.
"DateObject[{2020, 5, 31, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",19062.,10.,6.,4.
"DateObject[{2020, 6, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",19756.,8.,4.,0.
"DateObject[{2020, 6, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",17805.,12.,5.,2.
"DateObject[{2020, 6, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",17854.,7.,2.,0.
"DateObject[{2020, 6, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",21351.,9.,2.,1.
"DateObject[{2020, 7, 5, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",24185.,10.,1.,0.
"DateObject[{2020, 7, 12, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",22157.,9.,1.,1.
"DateObject[{2020, 7, 19, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",21222.,18.,0.,0.
"DateObject[{2020, 7, 26, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",23327.,10.,0.,0.
"DateObject[{2020, 8, 2, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",26594.,9.,1.,0.
"DateObject[{2020, 8, 9, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",30079.,13.,7.,2.
"DateObject[{2020, 8, 16, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",34333.,18.,9.,9.
"DateObject[{2020, 8, 23, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",42938.,30.,14.,7.
"DateObject[{2020, 8, 30, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",46563.,35.,21.,7.
"DateObject[{2020, 9, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",56675.,86.,64.,22.
"DateObject[{2020, 9, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",66659.,146.,104.,24.
"DateObject[{2020, 9, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",89468.,220.,164.,45.
"DateObject[{2020, 9, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114371.,510.,367.,189.
"DateObject[{2020, 10, 4, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",125307.,745.,517.,225.
"DateObject[{2020, 10, 11, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",146003.,1056.,706.,239.
"DateObject[{2020, 10, 18, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",125923.,1245.,750.,253.
"DateObject[{2020, 10, 25, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",106858.,1110.,741.,39.
"DateObject[{2020, 11, 1, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",110696.,1250.,743.,155.
"DateObject[{2020, 11, 8, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114059.,1233.,719.,180.
"DateObject[{2020, 11, 15, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",124520.,1335.,722.,170.
"DateObject[{2020, 11, 22, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",123954.,1019.,485.,134.
"DateObject[{2020, 11, 29, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",110996.,983.,432.,76.
"DateObject[{2020, 12, 6, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",105838.,1101.,567.,175.
"DateObject[{2020, 12, 13, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",116366.,1299.,910.,703.
"DateObject[{2020, 12, 20, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",58377.,959.,682.,440.
"DateObject[{2020, 12, 27, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",93483.,1884.,1173.,647.
"DateObject[{2021, 1, 3, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114353.,2079.,1334.,1030.
"DateObject[{2021, 1, 10, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",107452.,1971.,928.,813.
"DateObject[{2021, 1, 17, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",114509.,1913.,756.,617.
"DateObject[{2021, 1, 24, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",111689.,1520.,540.,454.
"DateObject[{2021, 1, 31, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",117142.,1364.,536.,384.
"DateObject[{2021, 2, 7, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",118208.,895.,308.,257.
"DateObject[{2021, 2, 14, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",110444.,660.,254.,149.
"DateObject[{2021, 2, 21, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",104835.,417.,177.,151.
"DateObject[{2021, 2, 28, 0, 0, 0.}, ""Instant"", ""Gregorian"", 1.]",102176.,348.,146.,135.
